code,level1,level2,level3,clarification_info
290000,Arts & Leisure Services,"","",Product / service
291000,Arts & Leisure Services,Events,"",Product / service
291100,Arts & Leisure Services,Museums & Art,"",Service
291120,Arts & Leisure Services,Organised Activities,"",Adult & children services
291200,Arts & Leisure Services,Outsourced Service,"",Service
291300,Arts & Leisure Services,Performing Arts,"",Service
291110,Arts & Leisure Services,Professional Musical Instruments,"",Products & maintenance
291400,Arts & Leisure Services,Sport & Fitness,"",Service
299999,Arts & Leisure Services,Not Elsewhere Classified,"",Product / service
100000,Building Construction Materials,"","",Products or supply & fit
101000,Building Construction Materials,Bathrooms,"",Products or supply & fit
101100,Building Construction Materials,Electrical,"",Products or supply & fit
101200,Building Construction Materials,Fencing,"",Products or supply & fit
101300,Building Construction Materials,Floor Coverings,"",Products or supply & fit
101400,Building Construction Materials,General Materials,"",Products or supply & fit
101500,Building Construction Materials,Glazing / Doors,"",Products or supply & fit
101600,Building Construction Materials,Hand Tools,"","Products, includes power tools"
101610,Building Construction Materials,Hand Tools,Direct Purchase,"Products, includes power tools"
101611,Building Construction Materials,Hand Tools,Hire,"Products, includes power tools"
101699,Building Construction Materials,Hand Tools,Not Elsewhere Classified,"Products, includes power tools"
101700,Building Construction Materials,Heating & Air Conditioning,"",Products or supply & fit
102600,Building Construction Materials,Insulation,"",Products or supply & fit
101800,Building Construction Materials,Kitchens,"",Products or supply & fit
101900,Building Construction Materials,Lighting,"",Products or supply & fit
102000,Building Construction Materials,Machine Tools,"",Products
102100,Building Construction Materials,Paint & Finishing,"",Products or supply & fit
102200,Building Construction Materials,Plumbing,"",Products or supply & fit
102300,Building Construction Materials,Roofing,"",Products or supply & fit
102400,Building Construction Materials,Signage,"",Products or supply & fit
102500,Building Construction Materials,Timber,"",Products or supply & fit
109999,Building Construction Materials,Not Elsewhere Classified,"",Products or supply & fit
110000,Catering,"","",Product / service
111000,Catering,Banquet & Catering,"",Products
111310,Catering,Corporate Services,"","Service, includes council run cafes, etc."
111100,Catering,Equipment & Utensils,"",Products or supply & fit
111120,Catering,Equipment & Utensils,Disposables,Products
111110,Catering,Equipment & Utensils,Repairs,Service
111199,Catering,Equipment & Utensils,Not Elsewhere Classified,Products
111200,Catering,Food & Beverages,"",Products
111210,Catering,Food & Beverages,School Milk,Products
111299,Catering,Food & Beverages,Not Elsewhere Classified,Products
111220,Catering,School Meals Service,"",Service
111230,Catering,Social Care,"",Product / service
111240,Catering,Social Care,Home Shopping Service,Product / service
111250,Catering,Social Care,Meals On Wheels,Service
111599,Catering,Social Care,Not Elsewhere Classified,Product / service
111311,Catering,Takeaway Service,"",Service
111400,Catering,Vending Machines & Dispensers,"",Products or supply & fit
119999,Catering,Not Elsewhere Classified,"",Product / service
120000,Cemetery & Crematorium,"","",Product / service
121300,Cemetery & Crematorium,Body Transport Service,"",Service
121000,Cemetery & Crematorium,Burial & Cremation,"",Service
121100,Cemetery & Crematorium,Equipment,"",Products or supply & fit
121200,Cemetery & Crematorium,Maintenance,"",Service
129999,Cemetery & Crematorium,Not Elsewhere Classified,"",Product / service
130000,Cleaning & Janitorial,"","",Product / service
131000,Cleaning & Janitorial,Cleaning Materials,"",Products
131010,Cleaning & Janitorial,Cleaning Materials,Chemical,"Products, includes soap, sprays, polish, disinfectant, etc."
131011,Cleaning & Janitorial,Cleaning Materials,Janitorial,"Products, include mops, buckets, brushes, etc."
131099,Cleaning & Janitorial,Cleaning Materials,Not Elsewhere Classified,Products
131310,Cleaning & Janitorial,Cleaning Service,"",Service
131320,Cleaning & Janitorial,Cleaning Service,External,"Service, including window cleaning"
131330,Cleaning & Janitorial,Cleaning Service,Internal,Service
131340,Cleaning & Janitorial,Cleaning Service,Specialist,"Service, includes deep clean, etc."
131399,Cleaning & Janitorial,Cleaning Service,Not Elsewhere Classified,Service
131100,Cleaning & Janitorial,Laundry Equipment,"",Products or supply & fit
131200,Cleaning & Janitorial,Laundry Equipment Maintenance,"",Service
131311,Cleaning & Janitorial,Laundry Service,"",Service
131312,Cleaning & Janitorial,Washroom Sanitation Service,"",Service
139999,Cleaning & Janitorial,Not Elsewhere Classified,"",Product / service
140000,Clothing,"","",Products
141000,Clothing,Childrens & Adults,"",Products
141200,Clothing,Footwear,"","Products, includes safety footwear"
141100,Clothing,Protective,"","Products, includes personal protective equipment"
141400,Clothing,Protective,Body Armour,Products
141110,Clothing,Protective,Coveralls & Suits,Boiler suits etc.
141111,Clothing,Protective,Disposable Clothing,Products
141199,Clothing,Protective,Not Elsewhere Classified,Products
141300,Clothing,Uniforms,"",Products
141310,Clothing,Uniforms,"Dresses, Skirts & Trousers",Including shorts
141311,Clothing,Uniforms,Fleeces & Jumpers,"Including cardigans, hooded tops etc."
141312,Clothing,Uniforms,Footwear,"Products, includes safety footwear"
141313,Clothing,Uniforms,Outerwear,"Jackets, coats, waterproof clothing etc."
141314,Clothing,Uniforms,Shirts,Including blouses & t-shirts
141499,Clothing,Uniforms,Not Elsewhere Classified,Products
149999,Clothing,Not Elsewhere Classified,"",Products
150000,Consultancy,"","",Service
151000,Consultancy,Business,"",Service
151200,Consultancy,Efficiency,"","Service, not Management"
151900,Consultancy,Management,"",Service
151910,Consultancy,Management,Efficiency,Service
151911,Consultancy,Management,Organisation & Planning,Service
151912,Consultancy,Management,Personnel,Service
151999,Consultancy,Management,Not Elsewhere Classified,Service
152000,Consultancy,Procurement,"",Service
152050,Consultancy,Property,"",Service
152100,Consultancy,Strategic Planning,"",Service
152200,Consultancy,Technical & Feasibility,"",Service
159999,Consultancy,Not Elsewhere Classified,"",Service
160000,Domestic Goods,"","",Products
161000,Domestic Goods,Commercial,"","Products, includes white goods"
161100,Domestic Goods,Industrial,"",Products
169999,Domestic Goods,Not Elsewhere Classified,"",Products
170000,Education,"","",Product / service
171010,Education,Adult & Further Education Services,"",Service
171110,Education,Arts & Crafts,"",Products
171111,Education,Audio Visual,"","Product / service, all media except literature"
171040,Education,Educational Placements,"",Service
171012,Education,Examinational Fees,"",Service
171113,Education,Library Books,"",Products
171060,Education,Library Services,"",Service
171114,Education,Literature,"","Products, includes all other written media"
171116,Education,School Books,"",Products
171115,Education,School Musical Instruments,"",Products & maintenance
171011,Education,School Services,"",Service
171020,Education,Statutory Education Services,"",Service
171030,Education,Statutory Education Services,Curriculum,Service
171050,Education,Statutory Education Services,Non-curriculum,Service
171099,Education,Statutory Education Services,Not Elsewhere Classified,Service
171100,Education,Supplies,"",Products
171117,Education,Toys,"",Products
179999,Education,Not Elsewhere Classified,"",Product / service
180000,Environmental Services,"","",Product / service
180010,Environmental Services,Animal Services,"",Service
180020,Environmental Services,Animal Services,Kennel Services,Service
180030,Environmental Services,Animal Services,Licensing Services,Service
181500,Environmental Services,Animal Services,Pest & Animal Control,Service
180040,Environmental Services,Animal Services,Veterinary Services,"Service, not working animals"
180099,Environmental Services,Animal Services,Not Elsewhere Classified,Service
181100,Environmental Services,Forensic & Laboratory,"",Service
181200,Environmental Services,Graffiti Removal,"",Service
181300,Environmental Services,Land Protection,"",Service
181400,Environmental Services,Monitoring,"",Service
181600,Environmental Services,Street Cleansing,"",Service
181620,Environmental Services,Street Cleansing,Gully Cleansing,Service
181610,Environmental Services,Street Cleansing,Sweeping,Service
181699,Environmental Services,Street Cleansing,Not Elsewhere Classified,Service
181700,Environmental Services,Street Lighting,"",Service
181710,Environmental Services,Street Lighting,Testing & Inspection,Service
181799,Environmental Services,Street Lighting,Not Elsewhere Classified,Service
181800,Environmental Services,Technical Equipment,"",Product / service
181810,Environmental Services,Technical Equipment,Laboratory,Product / service
181811,Environmental Services,Technical Equipment,Measuring,Product / service
181812,Environmental Services,Technical Equipment,Testing,Product / service
181899,Environmental Services,Technical Equipment,Not Elsewhere Classified,Product / service
181900,Environmental Services,Testing & Inspection,"",Service
181910,Environmental Services,Testing & Inspection,Geotechnical / Geochemical Surveys,Service
181911,Environmental Services,Testing & Inspection,Archaeological Surveys,Service
181999,Environmental Services,Testing & Inspection,Not Elsewhere Classified,Service
